property_id,title,price,price_per_sqft,bhk_count,super_area,floor,transaction,furnishing_status,bathroom_count,property_type,latitude,longitude,locality,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score
3075,3 BHK Apartment for Sale in Hebbal Bangalore,27000000.0,16453.0,3.0,1190.0,14.0,Resale,Unfurnished,3.0,apartment,13.0349961,77.5981732,Gundappa Reddy Layout,9.13,28.74,40.0,0.4462
3076,"3 BHK Apartment for Sale in Hosa Road, off Hosur Road Bangalore",24000000.0,13333.0,3.0,1450.0,10.0,New Property,Unfurnished,3.0,apartment,12.89248661,77.67369006,Amrita Nagar,19.27,54.6,4.49,0.0962
3077,3 BHK Apartment for Sale in Phase 8th JP Nagar Bangalore,9320000.0,6700.0,3.0,1391.0,1.0,New Property,Unfurnished,2.0,apartment,12.90369008,77.58574868,JP Nagar 6th Phase,10.34,43.02,2.15,0.1668
3078,3 BHK Apartment for Sale in Panathur Bangalore,28500000.0,17691.0,3.0,1150.0,10.0,Resale,Unfurnished,3.0,apartment,12.93365264,77.71669785,Balagere,20.77,45.41,40.0,0.4227
3079,3 BHK Apartment for Sale in Yelahanka Bangalore,28900000.0,13400.0,3.0,2159.0,3.0,New Property,Unfurnished,4.0,apartment,13.12173909,77.59683857,BSF Campus,19.85,18.43,40.0,0.4295
3080,3 BHK Apartment for Sale in Attibele Bangalore,8630000.0,6100.0,3.0,1061.0,5.0,New Property,Unfurnished,2.0,apartment,12.78052495,77.77375337,Attibele,35.99,66.75,40.0,0.4138
3081,3 BHK Apartment for Sale in Attibele Bangalore,9000000.0,6100.0,3.0,1106.0,3.0,New Property,Unfurnished,2.0,apartment,12.78052495,77.77375337,Attibele,35.99,66.75,40.0,0.4138
3082,3 BHK Apartment for Sale in Panathur Bangalore,29500000.0,15405.0,3.0,1915.0,13.0,Resale,Semi,3.0,apartment,12.93365264,77.71669785,Balagere,20.77,45.41,40.0,0.4227
3084,3 BHK Apartment for Sale in Vidyaranyapura Bangalore,13200000.0,7811.0,3.0,1700.0,3.0,New Property,Unfurnished,3.0,apartment,13.12173909,77.59683857,BSF Campus,19.85,18.43,40.0,0.4295
3085,3 BHK Apartment for Sale in Yelahanka Bangalore,16800000.0,10182.0,3.0,1200.0,10.0,New Property,Unfurnished,3.0,apartment,13.12173909,77.59683857,BSF Campus,19.85,18.43,40.0,0.4295
3086,3 BHK Villa for Sale in Yelahanka Bangalore,21700000.0,10807.0,3.0,2000.0,1.0,New Property,Semi,3.0,villa,13.12173909,77.59683857,BSF Campus,19.85,18.43,40.0,0.4295
3087,3 BHK Apartment for Sale in Krishnarajapura Bangalore,19900000.0,12134.0,3.0,1059.0,9.0,New Property,Semi,3.0,apartment,13.018226,77.710319,RMS Colony,18.91,32.24,5.42,0.0884
3088,3 BHK Apartment for Sale in Banashankari Bangalore,28500000.0,14158.0,3.0,1600.0,19.0,Resale,Unfurnished,4.0,apartment,12.92547062,77.54676887,Ittamadu,9.77,47.38,5.24,0.1054
3089,3 BHK  House for Sale in Nisarga Layout Hoskote Bangalore,14000000.0,5333.0,3.0,1968.0,1.0,New Property,Semi,3.0,house,13.06671555,77.80577539,Nisarga Layout,32.26,39.77,40.0,0.4169
3090,"3 BHK Apartment for Sale in Devasthanagalu, Varthur Bangalore",12400000.0,7450.0,3.0,1068.0,3.0,New Property,Unfurnished,3.0,apartment,12.93951986,77.73933232,Venkateshappa Layout,23.7,41.48,40.0,0.4209
3092,3 BHK Apartment for Sale in Sarjapur Road Bangalore,25000000.0,16589.0,3.0,1300.0,10.0,New Property,Semi,3.0,apartment,12.91235,77.680996,Kaikondrahalli,17.17,52.49,40.0,0.4258
3093,3 BHK Apartment for Sale in Varthur Bangalore,31500000.0,14151.0,3.0,1313.0,1.0,Resale,Unfurnished,3.0,apartment,12.94162601,77.74251723,Patel Layout,23.0,40.77,40.0,0.4215
3094,3 BHK Apartment for Sale in Bannerghatta Main Road Bangalore,7309999.999999999,5400.0,3.0,920.0,14.0,New Property,Semi,3.0,apartment,12.87052719,77.59332459,Kalena Agrahara,14.98,46.86,6.75,0.0808
3095,3 BHK Apartment for Sale in Yelahanka Airforce Base Bangalore,38900000.0,15679.0,3.0,1800.0,10.0,New Property,Unfurnished,4.0,apartment,13.12173909,77.59683857,BSF Campus,19.85,18.43,40.0,0.4295
3096,3 BHK Villa for Sale in Marsur Bangalore,13300000.0,6425.0,3.0,2070.0,1.0,New Property,Unfurnished,3.0,villa,12.76936531,77.70365022,Marsur,30.86,61.62,40.0,0.4157
3097,3 BHK Apartment for Sale in Sompura Bangalore,19200000.0,10000.0,3.0,1347.0,10.0,New Property,Unfurnished,3.0,apartment,12.863520312850545,77.77049343558198,Sompura,28.87,50.84,40.0,0.4172
3098,"3 BHK Apartment for Sale in Richards Town, Richards Town Bangalore",55000000.0,19756.0,3.0,2784.0,7.0,Resale,Semi,3.0,apartment,13.0046512,77.6135249,Rt Nagar,7.38,34.68,5.09,0.119
3099,"3 BHK Apartment for Sale in Seetharampalya, Hoodi Bangalore",20000000.0,10526.0,3.0,1750.0,4.0,Resale,Semi,3.0,apartment,12.9930557567105,77.7151620838908,Hoodi,19.29,35.95,0.88,0.2379
3100,3 BHK Apartment for Sale in Bagalur Main Road Bangalore,16000000.0,10250.0,3.0,1085.0,19.0,Resale,Unfurnished,3.0,apartment,13.1215691,77.62140164,Kattigenahalli,19.09,17.79,40.0,0.4306
